,contexte_gauche,mention,contexte_droit,procédé_de_nommage,cible_mention,polarité_mention,positionnement_mention,cible_contexte,temporalité,polarité_contexte,positionnement_contexte,
1668,"the Champs Elysees opened their doors to the public for the first time since March 17.In metro stations, staff handed out face-masks and sanitizer to commuters while stickers on train seats marked out social distancing.                  ",The capital's La Defense business district, was largely deserted as most employees continued to work from home.                  ,type lieu/référence géographique ,économie/localisation,neutre,pris en charge,événement,présent,neutre,pris en charge,
1669,La Defense which manages,the district,s public spaces.                  ,type lieu,urbanisme,neutre,pris en charge,urbanisme,présent,neutre,pris en charge,
1674,"with 3.81 per cent at the end of 2016.By contrast, vacancy rates in",La Défense,in Paris have fallen more than 20 per cent.,norme,NA,NA,NA,tourisme,présent,neutre,pris en charge,
1682,Covid-19.                Our operational center at ,La Defense,in Paris,norme,NA,NA,NA,urbanisme,présent,neutre,pris en charge,
1683,government announced the containment measures.The masks were given to health workers at the,La Defense, Health Center.                  ,norme,NA,NA,NA,événement,présent,neutre,pris en charge,
1684,"""The Big Eight"", as Parisians call it, will loop across the French capital andsew together the banlieues, including neglected areas such as Saint-Denis and Clichy-sous-Bois in the north and east, to business districts such as ",La Défense in the west,.		,référence géographique ,localisation,neutre,pris en charge,NA,NA,NA,NA,
1685,"It keepsits side of the bargain in real life, in the cafés of Greenwich Village, the bars of",the Meatpacking District,", the paths of Central Park, and the shops gleaming on Fifth Avenue.",NA,NA,NA,NA,NA,NA,NA,NA,
1686,"It is all there in the elegance of the ""Axe Historique""- the modernity of ",La Défense,"at one end, the Louvre's art at the other, the retail valhalla of the Champs Elysées in between.",norme,NA,NA,NA,NA,NA,NA,NA,
1687,"Europe's biggest mall owner announced thatit was selling the Village 3, 4 and 6 office buildings in",La Défense,", a business district in Paris, for €213m.                  ",norme,NA,NA,NA,immobilier,présent,neutre,pris en charge,
1688,"Europe's biggest mall owner announced thatit was selling the Village 3, 4 and 6 office buildings in La Défense,",a business district in Paris,", for €213m. 		 ",type lieu/référence géographique ,économie/localisation,neutre,pris en charge,immobilier ,présent,neutre,pris en charge,
1690,"""At this moment, which might be the turning point for Europe, I want to be able to seize the opportunity,"" he said in an interview at one of SocGen's trio of mirrored towers in ",La Défense,.                  ,norme,NA,NA,NA,événement,présent,neutre,cité ,
1693,A:The Eiffel Tower B: The Grande Arche de,la Défense,C: The Tour Montparnasse D: The Sacré-Coeur 9 Paris has seven mainline railway stations.,norme,NA,NA,NA,NA,NA,NA,NA,
1696,and boasts large family homes with gardens about a 15-minute commute from,the financial district,", La Défense, or a little longer to central Paris.                   ",type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,
1697,"and boasts large family homes with gardens about a 15-minute commute fromthe financial district,",La Défense,", or a little longer to central Paris.  		 ",norme,NA,NA,NA,NA,NA,NA,NA,
1698,"""The Big Eight"", as Parisians call it, will loop across the French capital andsew together the banlieues, including neglected areas such as Saint-Denis and Clichy-sous-Bois in the north and east, to business districts such as ",La Défense in the west,.,référence géographique,localisation,neutre,pris en charge,NA,NA,NA,NA,
1699,"Try the frogs!"" ",Paris's business district,has unveiled an advertising campaign that embraces longstanding national clichés in the hope of luring London-based workers to the French capital. ,référence géographique/type lieu,localisation,neutre,pris en charge,économie,présent,neutre,pris en charge,
1700,"The advert, which features a large frog wearing a French tricolore tie sitting in frontof",La Défense's skyscrapers,", is the latest in measures aimed at capitalising on the uncertainty created by the Brexit",type lieu,architecture,neutre,pris en charge,NA,NA,NA,NA,
1701,"groups to Paris.""Brexit is bad news for Europe but it's a fantastic opportunity for Paris and ",its business district,","" said Marie-Célie Guillaume, chief executive of Defacto",type lieu,économie,neutre,cité,économie,futur,positif,cité,
1702,"""Brexit is bad news for Europe but it's a fantastic opportunity for Paris and its business district,"" said Marie-Célie Guillaume, chief executive of DefactoLa Défense, the body responsible for managing ",the finance hub in western Paris,.,type lieu/référence géographique,localisation/économie/taille ,neutre,pris en charge ,économie,présent,positif,cité,
1703,"""France is ready to welcome business and finance."" 		 ",La Défense,"is Europe's largest business district, home to 400 companies and 160,000 employees.",norme,NA,NA,NA,économie,présent,positif,pris en charge,
1704,"""France is ready to welcome business and finance."" 		 La Défense is ",Europe's largest business district,", home to 400 companies and 160,000 employees.",type lieu/référence géographique/classement,localisation/économie/taille ,positif,pris en charge,économie,présent,positif,pris en charge,
1705,""" 		 La Défense is Europe's largest business district, home to 400 companies and 160,000 employees.",It," includes the likes of HSBC, Société Générale, EY, KPMG and Allianz. 		 ",NA,NA,NA,NA,économie,présent,neutre,pris en charge,
1706,The lobbying effort highlights,La Défense,"s 3.5m sq metres of office space and strong transport links, as well as the wider cultural attraction of the French capital.",norme,NA,NA,NA,quotidien ,présent,positif,pris en charge,
1708,"mean nothing if Racing fail to get pastSaracens in their rave arena,",La Defense,.,norme,NA,NA,NA,évenement,présent,neutre ,pris en charge,
1711,"""Everest was beautiful,"" another banker reminisced, remembering a correlation product that was sold to retail investors and named by Christophe Mianné, one of the leading lightsin equity derivatives in the 1980s, after he saw a film about the mountain projected near SocGen's Paris headquarters in ",La Défense,. 		 ,norme,NA,NA,NA,NA,NA,NA,NA,
1715,"""At this moment, which might be the turning point for Europe, I want to be able to seize the opportunity,"" he said in an interview at one of SocGen's trio of mirrored towers in ",La Défense,. 		 ,norme,NA,NA,NA,NA,NA,NA,NA,
1716,"shown on a map published by Le Parisien in the depths of the public sector strikes.Almost everywhere you would want to go for business or pleasure, except the Palace of Versailles and",the business district,,type lieu ,économie,neutre,pris en charge ,économie,présent,neutre,pris en charge,
1717,"Almost everywhere you would want to go for business or pleasure, except the Palace of Versailles and the business districtof",La Défense,- both,norme,NA,NA,NA,NA,NA,NA,NA,
1718,		 By Michel Rose and Tangi Salaün  		 (Adds official from ,business district,", pensioner, colour) 		 ",type lieu ,économie,neutre,pris en charge ,NA,NA,NA,NA,
1719,"the Champs Elysees opened their doors to the public for the first time since March 17.In metro stations, staff handed out face-masks and sanitizer to commuters while stickers on train seats marked out social distancing.                  ",The capital's La Defense business district, was largely deserted as most employees continued to work from home. 		 ,type lieu ,économie,neutre,pris en charge ,quotidien,présent,négatif ,pris en charge ,
1720,La Defence which manages,the district,s public spaces. 		 ,type lieu ,espace de vie,neutre,pris en charge ,urbanisme,présent ,neutre,pris en charge ,
1721,of opening for the first time in eight weeks.,The capital's La Defense business district, was largely deserted as many finance workers continued working from home. 		 ,type lieu/référence géographique,économie,neutre,pris en charge ,quotidien,présent,négatif  ,pris en charge ,
1722,"                ENPNewswire-June 19, 2020--PONANT FLEET REACTIVATION SUPPORTED BY BUREAU VERITAS EXPERTISE                  (C)2020 ENPublishing- http://www.enpublishing.co.uk                  Release date- 18062020 - ",Paris La Defense,"- Bureau Veritas (BV), a world leader in testing, inspection and certification (TIC) services, is working with PONANT, a cruise company with a fleet of 11",référence géographique,localisation,neutre,pris en charge ,NA,NA,NA,NA,
1723,"France's iconic projects includethe Melun Health Centre, the Dexia (CBX) and Carpe Diem towers in",the La Defense district of Paris,", the new EDF Research and Development Centre at Paris",référence géographique/type lieu ,localisation,neutre ,pris en charge ,NA,NA,NA,NA,
1724,"The Orange 5G Lab site in Chatillon (Paris region) is opening today.The others will gradually open in six other French towns: Lille, Lyon-Charbonnieres, Marseille,",Paris-La Defense,", Rennes and Toulouse.                  ",référence géographique,localisation,neutre,pris en charge ,NA,NA,NA,NA,
1725,Founded in 2000and headquartered in,La Defense,", France, Thales Group is a French multinational",norme,NA,NA,NA,NA,NA,NA,NA,
1726,C)2021 ENPublishing- http://www.enpublishing.co.uk 		 Release date- 01022021 - ,Paris La Defense,"- Bureau Veritas (BV), a world leader in testing, inspection, and certification, has released two new class",référence géographique,localisation,neutre,pris en charge ,NA,NA,NA,NA,
1727,He startedhis career as business operator and Deputy Director of,the La Defense business centre,,type lieu ,économie,neutre ,pris en charge ,quotidien,passé,neutre,pris en charge ,
1728,"office                  (C)2020 ENPublishing- http://www.enpublishing.co.uk                  Release date- 09032020 - On 24 February, Fugro in France relocated to a modern office space, Espace Le Carillon, close to ",the central business district of  La Defense," in Paris, thus achieving another milestone in its ambitious plan to enhance Fugro's presence in France. 		 ",type lieu ,économie,neutre,pris en charge ,immobilier,présent,positif,pris en charge ,
1731,"To date, Thales contributes to more than 30 electronic passport programs worldwide and remains the leader in the Travel andID document market. 		 ",PARIS LA DEFENSE,,référence géographique,localisation,neutre,pris en charge ,NA,NA,NA,NA,
1733,"The brand's firstEuropean hotel is part of a series of planned openings across Europe, including: Amsterdam (The Netherlands), Orleans (France),",Paris La Defense,"(France), Phnom Penh (Cambodia) in 2021;",référence géographique,localisation,neutre,pris en charge ,NA,NA,NA,NA,
1735,"""The situation should be very different in three or four quarters,"" Oudea, who is the longest-serving current CEO of a major European bank, said during a meeting at SocGen's modernist twin toweroffices in ",the La Defense district of Paris,. 		 ,référence géographique/type lieu ,localisation,neutre,pris en charge ,NA,NA,NA,NA,
1738,project goals andthe signing of the contract 		 ,Paris-La Defense,".- Germany, Spain and France",référence géographique,localisation,neutre,pris en charge ,NA,NA,NA,NA,
1743,"- Alain Robert, the free climber dubbed the ""French Spider-Man"", on Monday scaled the Tour Total, a 48-storey skyscraper in Paris, to demonstrate support for workers striking against President Emmanuel Macron's pension reform plans.                Robert, 57, stood with both arms aloft after reaching the summit of the 187-metre (613-foot) high tower, which stands in ",the French capital's business district,", La Defense. 		 ",référence géographique/type lieu ,localisation/économie ,neutre,pris en charge ,événement,présent,neutre,pris en charge ,
1744,"- Alain Robert, the free climber dubbed the ""French Spider-Man"", on Monday scaled the Tour Total, a 48-storey skyscraper in Paris, to demonstrate support for workers striking against President Emmanuel Macron's pension reform plans.                Robert, 57, stood with both arms aloft after reaching the summit of the 187-metre (613-foot) high tower, which stands in the French capital's business district, ",La Defense,. 		 ,norme,NA,NA,NA,événement,présent,neutre,pris en charge ,
1746,Request Sample Pages: https://www.marketsandmarkets.com/requestsampleNew.asp?id=247527694                  Founded in 2000and headquartered in ,La Defense,", France, Thales Group is a French multinational",norme,NA,NA,NA,NA,NA,NA,NA,
1747,"-290 of March 23, 2020, the Combined Shareholders' Meeting of the Company to be convened on Friday May 29, 2020 at 10:00 am, will be held at the Company's registered office, 2 Place Jean Millier-",La Defense," 6, 92400 Courbevoie without the physical presence of shareholders and other members and persons entitled to participate.		",norme,NA,NA,NA,NA,NA,NA,NA,
1752,"- Alain Robert, the free climber dubbed the ""French Spider-Man"", on Monday scaled the Tour Total, a 48-storey skyscraper in Paris, to demonstrate support for workers striking against the government's pension reform plans. 		 Robert, 57, stood with both arms aloft after reaching the summit of the 187-metre (613-foot) high tower, which stands in ",the French capital's business district,", La Defense.		",référence géographique/type lieu ,localisation/économie ,neutre,pris en charge ,événement,présent,neutre,pris en charge ,
1753,"- Alain Robert, the free climber dubbed the ""French Spider-Man"", on Monday scaled the Tour Total, a 48-storey skyscraper in Paris, to demonstrate support for workers striking against the government's pension reform plans. 		 Robert, 57, stood with both arms aloft after reaching the summit of the 187-metre (613-foot) high tower, which stands in the French capital's business district, ",La Defense,.		,norme,NA,NA,NA,événement,présent,neutre,pris en charge ,
1755,"biometric data processingand greater scalability, while saving costs. 		 ",Paris La Defense,"- Thales, world leader in digital security, is using innovative assets from the aerospace industry to boost its Biometric Matching System (BMS) performance while reducing the environmental impact.",référence géographique,localisation,neutre,pris en charge ,NA,NA,NA,NA,
1756,and mega-worksites across the globe: EOLE at,La Défense,", Crossrail in London, WestConnex in Sydney, the Tokyo Olympic Games...",norme,NA,NA,NA,NA,NA,NA,NA,
1757,"driver's licences to be recognised and used in over 18 countries world-wide including the US, UK and France 		 ",PARIS LA DEFENSE,- Thales,référence géographique,localisation,neutre,pris en charge ,NA,NA,NA,NA,
1758,"be reserved for cycling, with only buses, taxis and emergency vehicles allowed on it. 		 The city is also making plans to improve bike lane connections to ",the financial district of La Defenseon the western side of Paris,. 		 ,référence géographique/type lieu ,localisation/économie ,neutre,pris en charge ,urbanisme,futur,neutre,pris en charge ,
1759,"De Mallet Morgan: the street, which branches off from the Arc de Triomphe, contains some of the largest homes to be found in any European city, he says.The 16th arrondissement adjoins the Bois de Boulogne and is close to",La Défense,", Paris's business district.",norme,NA,NA,NA,NA,NA,NA,NA,
1760,"De Mallet Morgan: the street, which branches off from the Arc de Triomphe, contains some of the largest homes to be found in any European city, he says.The 16th arrondissement adjoins the Bois de Boulogne and is close to La Défense,",Paris's business district,.,référence géographique/type lieu ,localisation/économie ,neutre,pris en charge ,NA,NA,NA,NA,
1761,workers favouringthe short commute to,La Défense,— are shopping for two or three -bedroom apartments in Haussmann-designed buildings with a caretaker.,norme,NA,NA,NA,NA,NA,NA,NA,
1762,on upper floor with balcony on Boulevard Beauséjour €6m Five-bedroom detached housewith a garden in the Passy neighbourhood More homes at propertylistings.ft.com                  Rue Charles Lamoureux Avenue Foch Arc de Triomphe ,LA DÉFENSE,"Bois de BoulogneEiffel Tower, 7TH ARR 6TH ARR 16TH ARRONDISSEMENTPARIS FRANCE 2km Seine Seine maps4news.com/©HERE                ",norme,NA,NA,NA,NA,NA,NA,NA,
1763,Executive EducationCampus in,La Defense,", Paris, ESSEC has just installed Barco's weConnect virtual classroom at its main campus to enable the school to provide business courses to professionals around the world.",norme,NA,NA,NA,NA,NA,NA,NA,
1767,"		PARIS, Jan 13 (Reuters)- Alain Robert, the free climber dubbed the ""French Spider-Man"", on Monday started scaling the Tour Total, a 48-storey skyscraper in ",Paris' La Defense business district,", to show support for workers striking against pension reform. 		 ",référence géographique/type lieu ,localisation/économie ,neutre,pris en charge ,événement,présent,neutre,pris en charge ,
1769,Coupole/Regnault- 92078,Paris-La Defense Cedex,", France, or at our website total.com.",référence géographique,localisation,neutre,pris en charge ,NA,NA,NA,NA,
1770,		It is lunchtime in ,La Défense business district in Paris,", and the Sephora store is full of shoppers browsing through its high-end make-up and beauty collections.",référence géographique/type lieu ,localisation/économie ,neutre,pris en charge ,quotidien,présent,neutre,pris en charge ,
1772,"Like its stores in New York's TimesSquare and Dubai Mall in the Middle East, Sephora in",La Défense,has recently reopened after an extensive refurbishment.,norme,NA,NA,NA,économie,présent,neutre,pris en charge ,
1773,"But despite such technological developments, for Mr de Lapuente, the store has a robust future.                  At ",La Défense,", customers are returning to work with Sephora's distinctive striped bags modelled on the black-andwhite stripes of Italy's Siena Cathedral.",norme,NA,NA,NA,quotidien,présent,neutre,pris en charge ,
1774,"Christmas markets selling traditional produce and arts and crafts.With over 350 wooden chalets, the market at",La Defense,"(metro Grande Arche de la Defense)is the biggest one, while Champs-Elysees claims to host the city's most beautiful one.",norme,NA,NA,NA,événement,présent,positif,pris en charge ,
1776,"With over350 wooden chalets, the market at",La Defense," (metro Grande Arche de la Defense)is the biggest one, while Champs-Elysees claims to host the city's most beautiful one.                  ",norme,NA,NA,NA,événement,présent,positif,pris en charge ,
1778,That is a U-turn from even a few months ago when City financiers were as dismissive of Paris's merits as they were of the tortured advertising sloganfor,its La Defense business district,"("" Tired of the fog ? Choose Paris La Défense"")",type lieu,économie,neutre,pris en charge ,événement,présent,négatif,pris en charge ,
1779,Try the Frogs!Choose,Paris La Defense,"""). 		 ",référence géographique,localisation,neutre,cité,NA,NA,NA,NA,
1780,"and grant companies €40bn of tax breaks . 		 At the same time, ",the Paris financial centre,lobby has moved on from weather-based jibes.,référence géographique/type lieu ,localisation/économie ,neutre,pris en charge ,économie,présent,neutre,pris en charge ,
1781,Region andthe Service historique de,la Defense,"at Vincennes, as well as specialised collections within",norme,NA,NA,NA,NA,NA,NA,NA,
1782,"Institut national de recherches archeologiques preventives, UMR 7041 (CNRS, Paris1 Pantheon-Sorbonne &",Paris Quest Nanterre La Defense,,référence géographique,localisation,neutre,pris en charge ,NA,NA,NA,NA,
1783,of visitors who come especially to welcome in the new year.Staying in the heart of,the city's La Defense area,", not far from the famous Champs Elysees, you can see all the iconic sights on our leisurely break before joining in the festivities that lead up to midnight.",référence géographique/type lieu,localisation,neutre,pris en charge ,tourisme,présent,positif,pris en charge ,
1785,"and arts and crafts.                  With more than 350 wooden chalets, the market at",La Defense,(metro Grande Arche de la Defense),norme,NA,NA,NA,NA,NA,NA,NA,
1787,"Saint-Gobain certainly does not feel like a company on the defensive.It moves into new, glossier headquarters in",La Défense business district,next year.,type lieu ,économie,neutre,pris en charge,immobilier,futur,positif,pris en charge,
1789,its capital.The imposing Grande Arche at,La Défense,", the Grand Palais, the Pyramid at the Louvre and the Eiffel Tower in central Paris can all thank Saint-Gobain for their glass façades, floors and ceilings. 		 ",norme,NA,NA,NA,urbanisme,présent,positif,pris en charge,
1791,"                As a posse of Total managers heads for the lifts, Patrick Pouyanné peels away to his office at the top of the French oil group's tower at ",La Défense, in Paris. 		 ,norme,NA,NA,NA,NA,NA,NA,NA,
1792,to enjoy and our escorted tour by rail shows you some of the most iconic sights and areas.With accommodation in the heart of,Paris' La Defense area,", not far from the Arc de Triomphe and the Champs Elysees, it's a great way to discover the 'city of light'.		",référence géographique/type lieu,localisation,neutre,pris en charge ,tourisme,présent,positif,pris en charge,
1793,"France                  16th Arrondissement, Paris, €1.45m (£1.02m)                  Where Overlooking the Bois de Boulogne in the 16th Arrondissement, a 15-minute drive from ",La Défense business district, and 35 minutes from Charles de Gaulle international airport. 		 ,type lieu ,économie,neutre,pris en charge ,NA,NA,NA,NA,
1795,"break you can see iconic sights and visit some of the most popular areas, along with the chance to see the oldest traditional cabaret in the world, held in a National Landmark Theatre.With accommodation in the heart of",Paris' La Defense area,", not far from the Champs-Elysees and the Arc de Triomphe, this is a great way to discover the 'city of light'.",référence géographique/type lieu,localisation,neutre,pris en charge,tourisme,présent,positif,pris en charge,
1797,"the new-age technology hubs serving the financial centres of London, Paris and Amsterdam, those concerns are gaining ground.                In the twin towers of Société Générale, sprouting out of ",the purpose-built Parisian business district of La Défense,", private-banking boss Jean-Francois Mazaud describes his ""test and learn"" approach that was kick-started in the bank's ""innovation lab"" five years ago.",référence géographique/type lieu,localisation/économie/architecture,neutre,pris en charge,économie,présent,neutre,pris en charge,
1798,"to enjoy and our leisurely break shows you some of the most iconic sights and areas including the Eiffel Tower, the charming city of Versailles and the hill of Montmartre which is crowned by the Sacre Coeur.With accommodation in the heart of",Paris' La Defense area,", not far from the magnificent Arc de Triomphe and the grand avenue of Champs Elysees, this is a great way to discover the 'city of light'. 		",référence géographique/type lieu,localisation,neutre,pris en charge,tourisme,présent,positif,pris en charge,
1799,"doi: 10.15184/aqy.2015.107 		 Thomas Oliver Pryce, CNRS, UMR 7055 Prehistoire et Technologie, Universite de Paris Ouest ",La Defense,", France (Email: opryce@gmail.com) 		 ",norme,NA,NA,NA,NA,NA,NA,NA,
1802,"and new lighting.The CNIT, meanwhile, closed its doors at the end of June and will reopen in 2019, when the 'E' line of the RER train will be extended by three stations, including",La Defense,", providing direct entry into the CNIT. 		 ",norme,NA,NA,NA,urbanisme,futur,neutre,pris en charge,
1804,"and arts and crafts.                  With over 350 wooden chalets, the market at ",La Defense,"(metro Grande Arche de la Defense) is the biggest one, while Champs-Elysees claims to host the city's most beautiful one.",norme,NA,NA,NA,événement,présent,positif,pris en charge,
1806,"Try the frogs!"" ",Paris's business district,,type lieu ,économie,neutre,cité,NA,NA,NA,NA,
1807,"The advert, which features a large frog wearing a French tricolore tie sitting in frontof",La Défense's skyscrapers,", is the latest in measures aimed at capitalising on the uncertainty created by the Brexit",type lieu,architecture,neutre,pris en charge,NA,NA,NA,NA, doublon 1700
1808,"groups to Paris.		""Brexit is bad news for Europe but it's a fantastic opportunity for Paris and ",its business district,","" said Marie-Célie Guillaume, chief executive of Defacto",type lieu,économie,neutre,cité,économie,futur,positif,cité,doublon 1701
1809,"""Brexit is bad news for Europe but it's a fantastic opportunity for Paris and its business district,"" said Marie-Célie Guillaume, chief executive of DefactoLa Défense, the body responsible for managing ",the finance hub in western Paris,.,type lieu/référence géographique,localisation/économie/taille ,neutre,pris en charge ,économie,présent,positif,cité,doublon 1702
1810,"""France is ready to welcome business and finance.""                   ",La Défense," is Europe's largest business district, home to 400 companies and 160,000 employees, include the likes of HSBC, Société Générale, EY, KPMG and Allianz.                   ",norme,NA,NA,NA,économie,présent,positif,pris en charge,
1811,                 La Défense is ,Europe's largest business district,", home to 400 companies and 160,000 employees, include the likes of HSBC, Société Générale, EY, KPMG and Allianz.                   ",référence géographique/type lieu/classement,économie/localisation/taille,positif,pris en charge,économie,présent,positif,pris en charge ,
1812,"La Défense is Europe's largest business district, home to 400 companies and 160,000 employees, include the likes of HSBC, Société Générale, EY, KPMG and Allianz.                   The lobbying effort seeks to highlight ",La Défense,"s 3.5m square metres of office space and strong transport links, as well as the wider cultural attraction of the French capital.                  ",norme,NA,NA,NA,économie ,présent ,positif ,pris en charge,
1813,"Euronext, thepan-European exchange, is based at",La Défense,.                  ,norme,NA,NA,NA,économie,présent,neutre,pris en charge,
1814,"is home to France's largest banks and the European Securities and Markets Authority.Planning regulations limit the height of most buildings in the city centre to below 31 metres, forcing high-rise developments out to",La Défense,", the financial district 10km from",norme,NA,NA,NA,urbanisme,présent,neutre,pris en charge,
1815,"is home to France's largest banks and the European Securities and Markets Authority.Planning regulations limit the height of most buildings in the city centre to below 31 metres, forcing high-rise developments out to La Défense,",the financial district 10km from the city centre,                 Residential property Average prime prices are less than half those of London.,type lieu/référence géographique,économie/localisation,neutre,pris en charge,urbanisme,présent,neutre,pris en charge,
